Nom,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Description courte,Description longue,Image principale,Durée,Prix,Service-catégorie,Type de service,Bookla-id,Service parent,Couleurs,Option,is-visible
Boho braids + Shampoing démêlant,boho-braids---shampoing-demelant,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a3223cfaa2c22bf0d6ec5,false,false,Tue Nov 04 2025 17:04:35 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:48 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:48 GMT+0000 (Coordinated Universal Time),,,,320,320,,boho-braids,23809faf-2548-4ca7-8dbe-44b3c7caba0f,boho-braids,blond; noir,Shampoing démêlant (+20€),false
Boho braids + Shampoing et soin,boho-braids---shampoing-et-soin,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a3223404a70005a73fb05,false,false,Tue Nov 04 2025 17:04:35 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:48 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:48 GMT+0000 (Coordinated Universal Time),,,,340,335,,boho-braids,404fc59a-81e7-4a83-a5b2-9c65892c0b9d,boho-braids,blond; noir,Shampoing et soin (+35€),false
Cornrows Didi Stone,cornrows-didi-stone,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a3226b28c26d28ba3d512,false,false,Tue Nov 04 2025 17:04:38 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:01 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:15 GMT+0000 (Coordinated Universal Time),,,,120,100,,cornrows-h,93e4ccc4-99c2-441f-a18a-891fd8369ecc,,blond-cendre; blond,,false
Cornrows Didi Stone + Coupe des pointes,cornrows-didi-stone---coupe-des-pointes,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a322693dbdb71413084d8,false,false,Tue Nov 04 2025 17:04:38 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:01 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:01 GMT+0000 (Coordinated Universal Time),,,,140,110,,cornrows-h,ba33f904-9912-48fe-81a7-8ba84286a7ce,cornrows-didi-stone,blond-cendre; blond,Coupe des pointes (+10€),false
Cornrows Didi Stone + Shampoing démêlant,cornrows-didi-stone---shampoing-demelant,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a3226a2ebe29b4e378700,false,false,Tue Nov 04 2025 17:04:38 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:00 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:00 GMT+0000 (Coordinated Universal Time),,,,140,120,,cornrows-h,111c8a85-2965-45bc-bd05-a1dfe3a3a027,cornrows-didi-stone,blond-cendre; blond,Shampoing démêlant (+20€),false
Cornrows Didi Stone + Shampoing et soin,cornrows-didi-stone---shampoing-et-soin,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a3226394f863d6f494d99,false,false,Tue Nov 04 2025 17:04:38 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:59 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:59 GMT+0000 (Coordinated Universal Time),,,,160,135,,cornrows-h,a0f86fc8-27ed-468f-950b-efe7945f11e1,cornrows-didi-stone,blond-cendre; blond,Shampoing et soin (+35€),false
Cornrows H Braided Baldie,braided-baldie,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a32276c0b4e35bc233296,false,false,Tue Nov 04 2025 17:04:39 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:59 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:15 GMT+0000 (Coordinated Universal Time),,,https://cdn.prod.website-files.com/6892189f750bf17c33b8274f/6911bca5371e4fb067137c70_braided-baldie.webp,120,90,,cornrows-h,547fc3b9-6d49-48c0-a42b-27f756742b9e,,,,true
Cornrows H Braided Baldie + Coupe des pointes,braided-baldie---coupe-des-pointes,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a3227bbb234314aabfaba,false,false,Tue Nov 04 2025 17:04:39 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:00 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:00 GMT+0000 (Coordinated Universal Time),,,,140,100,,cornrows-h,6c3ab460-6dfd-4f4e-b4a0-dd6856d38768,braided-baldie,,Coupe des pointes (+10€),false
Cornrows H Braided Baldie + Shampoing démêlant,braided-baldie---shampoing-demelant,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a32277060f9bdffae6550,false,false,Tue Nov 04 2025 17:04:39 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:00 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:00 GMT+0000 (Coordinated Universal Time),,,,140,110,,cornrows-h,c141fc64-baf4-43f1-8fcf-47c90b170f76,braided-baldie,,Shampoing démêlant (+20€),false
Cornrows H Braided Baldie + Shampoing et soin,braided-baldie---shampoing-et-soin,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a32279ba6334bb24435c0,false,false,Tue Nov 04 2025 17:04:39 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:01 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:01 GMT+0000 (Coordinated Universal Time),,,,160,125,,cornrows-h,ebaf58ed-64f1-4ff4-b915-1439877992aa,braided-baldie,,Shampoing et soin (+35€),false
Cornrows Tyla lemonade,cornrows-tyla-lemonade,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a32269fcdfea0ef31d5a0,false,false,Tue Nov 04 2025 17:04:38 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:59 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:15 GMT+0000 (Coordinated Universal Time),,,https://cdn.prod.website-files.com/6892189f750bf17c33b8274f/6911bcf1531923d12c782c19_tyla-lemonade.webp,240,200,,cornrows-h,a883cbf6-56c8-4a66-a99c-e6a426b2b3b2,,blond-cendre; blond,,true
Cornrows Tyla lemonade + Coupe des pointes,cornrows-tyla-lemonade---coupe-des-pointes,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a322634f5ddd2888db2d4,false,false,Tue Nov 04 2025 17:04:38 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:59 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:59 GMT+0000 (Coordinated Universal Time),,,,260,210,,cornrows-h,ddbc15d3-f802-4944-8916-a58b5abd5f1f,cornrows-tyla-lemonade,blond-cendre; blond,Coupe des pointes (+10€),false
Cornrows Tyla lemonade + Shampoing démêlant,cornrows-tyla-lemonade---shampoing-demelant,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a3226ee0f689416cdf207,false,false,Tue Nov 04 2025 17:04:38 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:00 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:00 GMT+0000 (Coordinated Universal Time),,,,260,220,,cornrows-h,33976490-ccd9-43f7-ae81-c847d9c59753,cornrows-tyla-lemonade,blond-cendre; blond,Shampoing démêlant (+20€),false
Cornrows Tyla lemonade + Shampoing et soin,cornrows-tyla-lemonade---shampoing-et-soin,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a322673b1d3bb21a304d1,false,false,Tue Nov 04 2025 17:04:38 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:59 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:59 GMT+0000 (Coordinated Universal Time),,,,280,235,,cornrows-h,cae60909-c9e7-4fa9-958a-b3f31ef8674d,cornrows-tyla-lemonade,blond-cendre; blond,Shampoing et soin (+35€),false
Cornrows braided baldie,cornrows-braided-baldie,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a32259ba6334bb24434f0,false,false,Tue Nov 04 2025 17:04:37 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:00 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:15 GMT+0000 (Coordinated Universal Time),,,https://cdn.prod.website-files.com/6892189f750bf17c33b8274f/6911bd026726d5edb181f448_braided-baldie-femmes.webp,150,100,femmes,cornrows-h,0ee60d13-0ca6-41b2-a9dc-744cd990bf7f,,blond-cendre; blond; black; gold,,true
Cornrows braided baldie + Coupe des pointes,cornrows-braided-baldie---coupe-des-pointes,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a32257b7633db973a9b63,false,false,Tue Nov 04 2025 17:04:37 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:00 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:00 GMT+0000 (Coordinated Universal Time),,,,170,110,,cornrows-h,a2310604-388b-4558-8b1b-c827b1263e59,cornrows-braided-baldie,,Coupe des pointes (+10€),false
Cornrows braided baldie + Shampoing démêlant,cornrows-braided-baldie---shampoing-demelant,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a3225f85fabf95b516136,false,false,Tue Nov 04 2025 17:04:37 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:59 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:59 GMT+0000 (Coordinated Universal Time),,,,170,120,,cornrows-h,eb9f9a2c-460c-4277-bbd9-9ba2ecd9d3dc,cornrows-braided-baldie,,Shampoing démêlant (+20€),false
Cornrows braided baldie + Shampoing et soin,cornrows-braided-baldie---shampoing-et-soin,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a32269fcdfea0ef31d584,false,false,Tue Nov 04 2025 17:04:38 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:01 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:01 GMT+0000 (Coordinated Universal Time),,,,190,135,,cornrows-h,dab3c7c2-94c9-4172-b2d3-9707fd1bab63,cornrows-braided-baldie,,Shampoing et soin (+35€),false
Flame,flame,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a3227ad3f919c6e409ced,false,false,Tue Nov 04 2025 17:04:39 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:59 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:15 GMT+0000 (Coordinated Universal Time),,,https://cdn.prod.website-files.com/6892189f750bf17c33b8274f/6911bc79d4340d7ee8b4109c_flame.webp,120,70,,cornrows-h,5496a1ae-5d3d-43a2-8872-b9309bfa173b,,,,true
Flame + Coupe des pointes,flame---coupe-des-pointes,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a322795749a54df00e563,false,false,Tue Nov 04 2025 17:04:39 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:00 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:00 GMT+0000 (Coordinated Universal Time),,,,140,80,,cornrows-h,624500e9-8dea-4134-a8cd-6bf85e64b01b,flame,,Coupe des pointes (+10€),false
Flame + Shampoing démêlant,flame---shampoing-demelant,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a3228086bf32e48e72f3f,false,false,Tue Nov 04 2025 17:04:40 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:00 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:00 GMT+0000 (Coordinated Universal Time),,,,140,90,,cornrows-h,28d206f0-39a2-49b1-be07-2151f09b6f96,flame,,Shampoing démêlant (+20€),false
Flame + Shampoing et soin,flame---shampoing-et-soin,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a322881e2cb83723ba2c5,false,false,Tue Nov 04 2025 17:04:40 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:01 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:01 GMT+0000 (Coordinated Universal Time),,,,160,105,,cornrows-h,26e2a69a-517f-4e64-8642-2f077b0ca575,flame,,Shampoing et soin (+35€),false
French curl Bob,french-curl-bob,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a32235d9914eb090890e5,false,false,Tue Nov 04 2025 17:04:35 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:48 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:15 GMT+0000 (Coordinated Universal Time),,,https://cdn.prod.website-files.com/6892189f750bf17c33b8274f/6911bd657c743c51fa1511da_french-curl-bob.webp,180,140,,,2bcd27d6-f57e-4c75-af47-b027e1a0cb79,,blond-cendre; blond,,true
French curl Bob + Coupe des pointes,french-curl-bob---coupe-des-pointes,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a32236cf03cae2799fb11,false,false,Tue Nov 04 2025 17:04:35 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:48 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:48 GMT+0000 (Coordinated Universal Time),,,,200,150,,,e576e622-7649-49ad-a46a-08ba39c2be9d,french-curl-bob,blond-cendre; blond,Coupe des pointes (+10€),false
French curl Bob + Shampoing démêlant,french-curl-bob---shampoing-demelant,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a32232ef736ea1b1b4b70,false,false,Tue Nov 04 2025 17:04:35 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:48 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:48 GMT+0000 (Coordinated Universal Time),,,,200,160,,,7d836089-2ad2-46fa-8d76-79d46fa89961,french-curl-bob,blond-cendre; blond,Shampoing démêlant (+20€),false
French curl Bob + Shampoing et soin,french-curl-bob---shampoing-et-soin,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a3223a06ee4c058679ff3,false,false,Tue Nov 04 2025 17:04:35 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:48 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:48 GMT+0000 (Coordinated Universal Time),,,,220,175,,,7c8f97d6-521f-47b9-af0a-4706b8b25a1f,french-curl-bob,blond-cendre; blond,Shampoing et soin (+35€),false
French curl Long,french-curl-long,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a322398752731f08f78dd,false,false,Tue Nov 04 2025 17:04:35 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:58 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:15 GMT+0000 (Coordinated Universal Time),,,https://cdn.prod.website-files.com/6892189f750bf17c33b8274f/6911bd4f7edd4710efeb8843_french-curl-long.webp,240,150,,,843555aa-ef5c-4053-b3a1-0a6b7b825ea3,,blond-cendre; blond,,true
French curl Long + Coupe des pointes,french-curl-long---coupe-des-pointes,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a32236d5d9efae3c0f45b,false,false,Tue Nov 04 2025 17:04:35 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:00 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:00 GMT+0000 (Coordinated Universal Time),,,,260,160,,,8f4242b4-303e-45f6-a7b4-bc8162600fe7,french-curl-long,blond-cendre; blond,Coupe des pointes (+10€),false
French curl Long + Shampoing démêlant,french-curl-long---shampoing-demelant,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a32232fcb220ca72876c0,false,false,Tue Nov 04 2025 17:04:35 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:00 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:00 GMT+0000 (Coordinated Universal Time),,,,260,170,,,757ffbe0-830e-43d3-93bb-0b9373103aee,french-curl-long,blond-cendre; blond,Shampoing démêlant (+20€),false
French curl Long + Shampoing et soin,french-curl-long---shampoing-et-soin,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a3223bf086dbe4e37f1b5,false,false,Tue Nov 04 2025 17:04:35 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:59 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:59 GMT+0000 (Coordinated Universal Time),,,,280,185,,,c0a4237e-6344-4291-b108-fda7061bef30,french-curl-long,blond-cendre; blond,Shampoing et soin (+35€),false
Fulani Mi-tête,fulani-mi-tete,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a3224a1a0b8e10973e37b,false,false,Tue Nov 04 2025 17:04:36 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:59 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:15 GMT+0000 (Coordinated Universal Time),,,https://cdn.prod.website-files.com/6892189f750bf17c33b8274f/6911bd33effc22c11a268ccb_fulani-mi-tete.webp,120,70,,fulani,7c599572-e853-4d6a-b1c0-b9b810b05bbb,,blond-cendre; blond,,true
Fulani Mi-tête + Coupe des pointes,fulani-mi-tete---coupe-des-pointes,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a3224ec5fd1dc6ce512c4,false,false,Tue Nov 04 2025 17:04:36 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:01 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:01 GMT+0000 (Coordinated Universal Time),,,,140,80,,fulani,4d9b1d21-5913-4dcd-aa69-2feb74420adc,fulani-mi-tete,blond-cendre; blond,Coupe des pointes (+10€),false
Fulani Mi-tête + Shampoing démêlant,fulani-mi-tete---shampoing-demelant,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a32248a91107c69aed20f,false,false,Tue Nov 04 2025 17:04:36 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:59 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:59 GMT+0000 (Coordinated Universal Time),,,,140,90,,fulani,7b488b54-97c5-404e-a8b2-aa90b804846c,fulani-mi-tete,blond-cendre; blond,Shampoing démêlant (+20€),false
Fulani Mi-tête + Shampoing et soin,fulani-mi-tete---shampoing-et-soin,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a3224ea6ad0beaa1a8765,false,false,Tue Nov 04 2025 17:04:36 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:59 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:59 GMT+0000 (Coordinated Universal Time),,,,160,105,,fulani,79262069-14e2-46bc-a810-8e13a2502830,fulani-mi-tete,blond-cendre; blond,Shampoing et soin (+35€),false
Fulani Sally,fulani-sally,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a32247b2784a2c6be6a7f,false,false,Tue Nov 04 2025 17:04:36 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:01 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:15 GMT+0000 (Coordinated Universal Time),,,https://cdn.prod.website-files.com/6892189f750bf17c33b8274f/6911bd3d9efbfe18cc88ba94_fulani-sally.webp,240,150,,fulani,4dc262ca-2293-4f60-a084-5dd74980ca33,,blond-cendre; blond,,true
Fulani Sally + Coupe des pointes,fulani-sally---coupe-des-pointes,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a3224b0e6447a2116cd43,false,false,Tue Nov 04 2025 17:04:36 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:01 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:01 GMT+0000 (Coordinated Universal Time),,,,260,160,,fulani,93c69a8a-b767-41c3-88b2-ad092378cab2,fulani-sally,blond-cendre; blond,Coupe des pointes (+10€),false
Fulani Sally + Shampoing démêlant,fulani-sally---shampoing-demelant,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a3224f50a45aa9eb69b76,false,false,Tue Nov 04 2025 17:04:36 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:00 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:00 GMT+0000 (Coordinated Universal Time),,,,260,170,,fulani,4380dc7e-31dc-4390-b1c3-55873d1f1eee,fulani-sally,blond-cendre; blond,Shampoing démêlant (+20€),false
Fulani Sally + Shampoing et soin,fulani-sally---shampoing-et-soin,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a3224a5bb8d906afdd16c,false,false,Tue Nov 04 2025 17:04:36 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:59 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:59 GMT+0000 (Coordinated Universal Time),,,,280,185,,fulani,736639da-937d-4492-a3e0-c220abfb279c,fulani-sally,blond-cendre; blond,Shampoing et soin (+35€),false
Fulani Tribal,fulani-tribal,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a32247a5e50d5e1d68572,false,false,Tue Nov 04 2025 17:04:36 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:59 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:15 GMT+0000 (Coordinated Universal Time),,,,300,170,,fulani,1f7693d0-a288-4a37-afa6-fa2d97026b39,,blond-cendre; blond,,false
Fulani Tribal + Coupe des pointes,fulani-tribal---coupe-des-pointes,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a3225cf35aaa43e0d5059,false,false,Tue Nov 04 2025 17:04:37 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:59 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:59 GMT+0000 (Coordinated Universal Time),,,,320,180,,fulani,8cbfa427-d60e-4861-a77a-cb8331141ee1,fulani-tribal,blond-cendre; blond,Coupe des pointes (+10€),false
Fulani Tribal + Shampoing démêlant,fulani-tribal---shampoing-demelant,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a3224f223293cd78bcb89,false,false,Tue Nov 04 2025 17:04:36 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:59 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:59 GMT+0000 (Coordinated Universal Time),,,,320,190,,fulani,abec9082-96a0-4f03-b185-580ff2356086,fulani-tribal,blond-cendre; blond,Shampoing démêlant (+20€),false
